Country Name,Country code ,Year ,Population,GDP
USSR ,SUN,1915,,
USSR ,SUN,1916,,
USSR ,SUN,1917,,
USSR ,SUN,1918,,
USSR ,SUN,1919,,
USSR ,SUN,1920,"154,607",
USSR ,SUN,1921,"152,836",
USSR ,SUN,1922,"152,403",
USSR ,SUN,1923,"153,055",
USSR ,SUN,1924,"155,581",
USSR ,SUN,1925,"158,983",
USSR ,SUN,1926,"162,621",
USSR ,SUN,1927,"166,117",
USSR ,SUN,1928,"169,269","231,886"
USSR ,SUN,1929,"172,017","238,392"
USSR ,SUN,1930,"174,212","252,333"
USSR ,SUN,1931,"175,987","257,213"
USSR ,SUN,1932,"176,807","254,424"
USSR ,SUN,1933,"177,401","264,880"
USSR ,SUN,1934,"178,453","290,903"
USSR ,SUN,1935,"179,636","334,818"
USSR ,SUN,1936,"181,502","361,306"
USSR ,SUN,1937,"184,626","398,017"
USSR ,SUN,1938,"188,498","405,220"
USSR ,SUN,1939,"192,379","430,314"
USSR ,SUN,1940,"195,970","420,091"
USSR ,SUN,1941,,"333,656"
USSR ,SUN,1942,,"333,656"
USSR ,SUN,1943,,"333,656"
USSR ,SUN,1944,,"333,656"
USSR ,SUN,1945,,"333,656"
USSR ,SUN,1946,"173,900","332,727"
USSR ,SUN,1947,"174,000","369,903"
USSR ,SUN,1948,"175,100","420,555"
USSR ,SUN,1949,"177,500","465,631"
USSR ,SUN,1950,"179,571","510,243"
USSR ,SUN,1951,"182,677","512,566"
USSR ,SUN,1952,"185,856","545,792"
USSR ,SUN,1953,"188,961","569,260"
USSR ,SUN,1954,"192,171","596,910"
USSR ,SUN,1955,"195,613","648,027"
USSR ,SUN,1956,"199,103","710,065"
USSR ,SUN,1957,"202,604","724,470"
USSR ,SUN,1958,"206,201","778,840"
USSR ,SUN,1959,"209,928","770,244"
USSR ,SUN,1960,"213,780","843,434"
USSR ,SUN,1961,"217,618","891,763"
USSR ,SUN,1962,"221,227","915,928"
USSR ,SUN,1963,"224,585","895,016"
USSR ,SUN,1964,"227,698","1,010,727"
USSR ,SUN,1965,"230,513","1,068,117"
USSR ,SUN,1966,"233,139","1,119,932"
USSR ,SUN,1967,"235,630","1,169,422"
USSR ,SUN,1968,"237,983","1,237,966"
USSR ,SUN,1969,"240,253","1,255,392"
USSR ,SUN,1970,"242,478","1,351,818"
USSR ,SUN,1971,"244,887","1,387,832"
USSR ,SUN,1972,"247,343","1,395,732"
USSR ,SUN,1973,"249,712","1,513,070"
USSR ,SUN,1974,"252,111","1,556,984"
USSR ,SUN,1975,"254,519","1,561,399"
USSR ,SUN,1976,"256,883","1,634,589"
USSR ,SUN,1977,"259,225","1,673,159"
USSR ,SUN,1978,"261,525","1,715,215"
USSR ,SUN,1979,"263,751","1,707,083"
USSR ,SUN,1980,"265,973","1,709,174"
USSR ,SUN,1981,"268,217","1,724,741"
USSR ,SUN,1982,"270,533","1,767,262"
USSR ,SUN,1983,"273,010","1,823,723"
USSR ,SUN,1984,"275,574","1,847,190"
USSR ,SUN,1985,"278,108","1,863,687"
USSR ,SUN,1986,"280,646","1,940,363"
USSR ,SUN,1987,"283,124","1,965,457"
USSR ,SUN,1988,"285,482","2,007,280"
USSR ,SUN,1989,"287,011","2,037,253"
USSR ,SUN,1990,"289,045","1,987,995"
USSR ,SUN,1991,"290,754","1,863,524"
USSR ,SUN,1992,"292,079","1,592,084"
USSR ,SUN,1993,"292,686","1,435,008"
USSR ,SUN,1994,"292,755","1,235,738"
USSR ,SUN,1995,"292,597","1,163,401"
USSR ,SUN,1996,"292,188","1,125,992"
USSR ,SUN,1997,"291,750","1,149,255"
USSR ,SUN,1998,"291,373","1,124,868"
USSR ,SUN,1999,"291,012","1,171,952"
USSR ,SUN,2000,"290,654","1,264,526"
USSR ,SUN,2001,"290,349","1,343,230"
USSR ,SUN,2002,"290,154","1,405,639"
USSR ,SUN,2003,"290,062",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
