Country,Country Code -UN,Index -UN,NOC - ID Olympics,YEARS NEEDED
Russian Federation,643,240,RUS,1952
Republic of Moldova,498,238,MDA,1956
Kazakhstan,398,111,KAZ,1960
Armenia,51,91,ARM,1964
Azerbaijan,31,92,AZE,1968
Belarus,112,233,BLR,1972
Estonia,233,246,EST,1976
Georgia,268,95,GEO,1980
Kyrgyzstan,417,112,KGZ,1984
Latvia,428,252,LAT,1988
Lithuania,440,253,LTU,1992
Tajikistan,762,113,TJK,1994
Turkmenistan,795,114,TKM,1996
Ukraine,804,242,UKR,1998
Uzbekistan,860,115,UZB,2000
Russia- 1992,,,EUN,2002
USSR,,,URS,2004
,,,,2006
,,,,2008
,,,,2010
,,,,2012
